Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
SYMPHONY,Bearish,0.25882526408752393,0.639983579638752,854.95,773.32,902.21,17.71,0.2215527260571859
JHS,Bearish,0.28092860620122745,0.4708538587848932,10.75,9.72,11.34,0.83,0.2214676910299003
GREENPOWER,Bearish,0.262835390948309,0.6042692939244664,12.84,11.61,13.54,0.39,0.2212305770116637
TEJASNET,Bearish,0.2935791081176147,0.3830049261083744,492.28,445.28,519.49,16.11,0.22112436271518857
HAPPYFORGE,Bearish,0.268566959707365,0.5582922824302134,1027.64,929.52,1084.44,28.05,0.2211157201925662
MONTECARLO,Bearish,0.2732714759994337,0.5225779967159278,762.32,689.54,804.46,28.09,0.22108514979461572
FSL,Bearish,0.2811927272132303,0.4651067323481117,346.31,313.24,365.45,9.83,0.22102948853361798
GANDHAR,Bearish,0.2665238783935865,0.5706075533661741,130.05,117.63,137.23,3.7,0.22074654230168314
TRANSRAILL,Bearish,0.2725057824274532,0.5238095238095238,645.76,584.1,681.45,22.33,0.22059991910793833
KHADIM,Bearish,0.2854613461259228,0.430623973727422,204.87,185.31,216.19,8.2,0.2204474073612832
HUHTAMAKI,Bearish,0.26920913954201,0.541871921182266,218.73,197.85,230.82,6.81,0.21987623318258748
AEGISVOPAK,Bearish,0.27635496015927447,0.4889162561576355,259.2,234.45,273.53,8.44,0.21985874909223066
AVANTEL,Bearish,0.29639208557907215,0.35139573070607555,153.58,138.92,162.07,6.45,0.21949561674246557
GENESYS,Bearish,0.26428716043055456,0.575944170771757,423.87,383.4,447.3,22.77,0.21945815604225194
360ONE,Bearish,0.2614354178161167,0.5985221674876847,1156.99,1046.52,1220.94,30.96,0.21945120786141026
SAKUMA,Bearish,0.2535249356731254,0.6609195402298851,2.37,2.14,2.5,0.09,0.21913879497263253
BPL,Bearish,0.27455079935830173,0.4942528735632184,61.38,55.52,64.77,2.5,0.21900948822374874
KRN,Bearish,0.2689121189275794,0.5344827586206896,814.21,736.47,859.21,25.57,0.21883882781692665
MONARCH,Bearish,0.25789544027854183,0.6133004926108375,304.47,275.4,321.3,7.63,0.21800422439309253
RELIANCE,Bearish,0.27464149150334627,0.4827586206896552,1555.58,1407.06,1641.57,20.16,0.21781911395092982
AKZOINDIA,Bearish,0.26815841787906736,0.529967159277504,3364.99,3043.71,3550.99,67.23,0.21774111271132807
SSWL,Bearish,0.2889566252342462,0.3838259441707717,190.94,172.71,201.49,6.11,0.21773759494252146
IZMO,Bearish,0.2718855207767935,0.4995894909688013,863.66,781.2,911.4,50.33,0.2174637720367424
WSTCSTPAPR,Bearish,0.26642427139808633,0.5402298850574713,415.46,375.79,438.43,8.59,0.2174267042444153
PRAKASH,Bearish,0.28864489271107496,0.3830049261083744,135.42,122.49,142.91,4.15,0.21740790194839094
