Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Supriya Pharmaceuticals Ltd.,SUPHA,Supriya Pharmaceuticals Ltd,Delisted,XD,10,INE647C01016, ,Equity,-,-,-,-
T.I.Pharma Ltd.,TIPHARM,TI Pharmaceutical Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Elder Projects Limited,ELDERPG,Elder Projects Ltd,Delisted,Z ,10,INE975E01017, ,Equity,-,-,-,-
Everest Organics Ltd.,EVERESTO,Everest Organics Ltd,Active,XT,10,INE334C01029,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
P.C.I.Chemicals And Pharmaceuticals,PCICHEM,PCI Chemicals & Pharmaceuticals Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Matrix Laboratories Ltd.,MATRIXLAB,Matrix Laboratories Ltd,Delisted,B ,2,INE604D01023, ,Equity,-,-,-,-
Vardhaman Laboratories Ltd.,VARDHCH,Vardhaman Laboratories Ltd,Delisted,ZP,10,INE503F01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Plama Laboratories Ltd.,PALMACH,PALMACH,Delisted,Z ,10,-, ,Equity,-,-,-,-
Hemi Petro Products Ltd.,HEMPECH,Hemi Petro Products Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Veronica Laboratories Ltd.,VEROLAB,Veronica Laboratories Ltd,Delisted,X ,10,INE994A01016, ,Equity,-,-,-,-
Aurobindo Pharma Ltd.,AUROPHARMA,Aurobindo Pharma Ltd,Active,A ,1,INE406A01037,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Clarisis Organics Ltd.,CLARICH,Clarisis Organics Ltd,Delisted,P ,10,INE654F01015, ,Equity,-,-,-,-
Phyto Chem (India) Ltd.,PHYTO,Phyto Chem India Ltd,Active,X ,10,INE037C01010,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Cepham Milk Specialities Ltd.,CEPMS,Cepham Milk Specialities Ltd,Delisted,Z ,10,INE359C01018, ,Equity,-,-,-,-
Emergy Phaarma Ltd.,EMERGY,Emergy Phaarma Ltd,Delisted,Z ,10,INE586C01016, ,Equity,-,-,-,-
Maruti Industrial Carbohydrates Ltd,MARTICH,Maruti Industrial Carbohydrate Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Natco Pharma Ltd.,NATCOPHARM,Natco Pharma Ltd,Active,A ,2,INE987B01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
